FieldPrefix,FieldSeq,FieldCode,Month,Day,Year,BandNumber,SpeciesCode,Station,BledBy,Recorder,EnteredBy,StorageLocation,DNAExtractionDate,DNAStorageLoc,RecordStatus
,,,8,11,2013,255198314,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,255198304,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,245109609,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,134297303,NOMO,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,257141098,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,245109648,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,255198313,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,257141020,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,245109652,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,245109639,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,255198316,HOSP,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,134297302,BLJA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,255130271,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,134297302,BLJA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,11,2013,171352726,BLJA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,258138139,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,245125216,NOCA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,258138141,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,245125213,NOCA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,245125217,NOCA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,271050307,HOWA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,258138140,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,17,2013,271050309,HOWA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,255198322,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,255198323,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245109661,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,171352727,BRTH,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245109659,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245115251,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245109658,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,255198321,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,255198308,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245109666,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,Broken
,,,8,24,2013,245109781,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,257141010,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,255130431,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245109660,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,8,24,2013,245109661,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109672,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109670,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109662,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109671,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,255198321,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109673,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109669,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109667,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,255198325,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109668,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109674,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,255198301,CARW,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,8,2013,245109663,NOCA,HOME,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,171382315,BLJA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,245125220,NOCA,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,258138118,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,258138142,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,271050303,WEVI,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,258138116,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,Broken
,,,9,15,2013,258138145,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
,,,9,15,2013,258138143,CARW,PISP,,,,Indiv Tube Freezer,,#N/A,OK
