"BandNumber","FieldCode","Station","Malaria","IDBirdBandingData","SpeciesName","CP","BP","Fat","BodyMolt","FFMolt","FFWear","RightWing","LeftWing","CycleCode","Age","Sex","Weight","CaptureTime"
90178491,"SMD20140404116","BAMB","P",5060,"NORTHERN CARDINAL","N","N","N","N","A","L",94,NA,"FAS","A","M",37.6,11:17:00
90178491,"SMD20140404116","BAMB","P",5175,"NORTHERN CARDINAL","N","!","N","N","N","N",NA,90,"DCB","O","M",38.4,08:40:00
168182170,"SMD2015102226","HOME","N",635,"NORTHERN CARDINAL","N","N","L","N","N","S",87,NA,"FAS","A","F",39.3,07:57:00
168182170,"SMD2015102226","HOME","N",4573,"NORTHERN CARDINAL","N","S","H","N","N","M",90,NA,"FAS","A","F",NA,09:29:00
168182170,"SMD2015102226","HOME","N",5743,"NORTHERN CARDINAL","N","V","H","N","N","L",87,NA,"FAS","A","F",43.5,11:20:00
168182170,"SMD2015102226","HOME","N",7880,"NORTHERN CARDINAL","N","N","N","N","N","S",88,NA,"FAS","U","F",41.2,09:05:00
168182170,"SMD2015102226","HOME","N",9890,"NORTHERN CARDINAL","N","N","T","M","S","L",87,NA,"DPB","A","F",41.8,09:23:00
168182170,"SMD2015102226","HOME","N",635,"NORTHERN CARDINAL","N","N","L","N","N","S",87,NA,"FAS","A","F",39.3,07:57:00
168182170,"SMD2015102226","HOME","N",4573,"NORTHERN CARDINAL","N","S","H","N","N","M",90,NA,"FAS","A","F",NA,09:29:00
168182170,"SMD2015102226","HOME","N",5743,"NORTHERN CARDINAL","N","V","H","N","N","L",87,NA,"FAS","A","F",43.5,11:20:00
168182170,"SMD2015102226","HOME","N",7880,"NORTHERN CARDINAL","N","N","N","N","N","S",88,NA,"FAS","U","F",41.2,09:05:00
168182170,"SMD2015102226","HOME","N",9890,"NORTHERN CARDINAL","N","N","T","M","S","L",87,NA,"DPB","A","F",41.8,09:23:00
245109610,"SMD2013100216","HOME","P",3941,"NORTHERN CARDINAL","N","N","N","L","S","N",85,NA,"DPB","A","F",39.6,10:50:00
245109611,"SMD2014070209","HOME","P",5170,"NORTHERN CARDINAL","N","W","N","N","N","S",88,NA,"FAJ","A","F",37.1,07:07:00
